host	repo	path	branch	head	state	nfiles	nnovel	nadd	ndel	code_add	trk_dirty	untracked	issue	cdate	verdict	rule	subject	topdirs	novelfiles	wtdir	why
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/campaign_v164_spm_ihp/wt_pristine	(detached)	918bf1e7c	LANDED_FILE	0	0	0	0	0	0	3		2026-07-26	LANDED	L0	fix(gate): my own docstring made a recorded checker look wired — prose is a catalogue, not a runner [v1.6.30]			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/campaign_v164_spm_ihp/wt_reg	capture/pdk-registry-ihp-sg13cmos5l	2ba8c296b	UNLANDED	2	2	316	115	182	0	0		2026-07-26	RECOVER	R2	feat(pdk-registry): declare ihp-sg13cmos5l — the PDK ships in the image but was absent from the registry, so `--pdk ihp-sg13cmos5l` resolved to sky130A	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/pdk_registry.json,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_pdk_registry_ihp_sg13cmos5l.py	present	182 authored lines absent from main (+134 regenerable)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/main	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/pr	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/w1	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/w2	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/w3	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/w4	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/w5	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/prcheck161/repo	/home/reyerchu/prcheck161/w6	(detached)	24ff95307	LANDED_FILE	0	0	0	0	0	0	0		2026-08-13	LANDED	L0	[v1.10.36] candidate batch			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-1528-baseline	(detached)	721767b33	LANDED_FILE	0	0	0	0	0	0	0	683	2026-07-22	LANDED	L0	fix(phase2): generalise the #683 phantom-synth-top fallback beyond 'chip_top' [v1.5.28]			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-approachA-a857c45b	fix/phase3-msetup-repair-approachA-a857c45b	eae80aba9	UNLANDED	2	2	1433	19075	1433	0	0		2026-07-22	RECOVER	R2	fix(phase3): repair the SLOW (ss) setup corner BEFORE detailed route — multi-corner PnR	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_phase3_routability_driven_placement.py	present	1433 lines in 2 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-hmpg-supply-p1p3	fix/hardmacro-supply-p1p3-block	e52900fd1	UNLANDED	8	8	3153	19680	3153	0	0		2026-07-25	RECOVER	R2	fix(hardmacro-supply): Phase-1 intent gate + Phase-3 pre-route block for macro POWER/GROUND pins	HANDOFF_TO_GATEKEEPER.md,vibe-ic-marketplace/plugins	HANDOFF_TO_GATEKEEPER.md,vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md,vibe-ic-marketplace/plugins/vibe-ic/programs/hardmacro_supply_intent.py,vibe-ic-marketplace/plugins/vibe-ic/programs/ip_integration_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_hardmacro_supply_intent.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_hardmacro_supply_route_block.py	present	3153 lines in 8 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-ibex-cpu-regmap-nA	fix-bitlevel-cpu-regmap-nA	2c319e98c	UNLANDED	2	1	36	472	36	0	0		2026-07-22	RECOVER	R2	fix(bit-level-tb-gate): processor_cpu L4 is architectural CSRs, not a register-slave protocol	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/bit_level_full_stack_tb_check.py	present	36 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-ibex-dft-samplesize	fix-dft-tdf-fault-sample-size	e2575a8a9	LANDED_FILE	0	0	0	0	0	0	0		2026-07-24	LANDED	L0	docs(benchmark-data): refresh per-cell residuals with fresh v1.5.65/v1.5.66 verified data			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-ibex-fix-lec-multiroot-gatetop-ibex	fix-lec-multiroot-gatetop-ibex	55d3c3e26	LANDED_PATCH	2	0	6	93	6	0	0		2026-07-23	LANDED	L1	fix(lec-gate): SKIPPED-CONDITION -> WAIVED-DEFERRED, not a hard LEC_NOT_EQUIVALENT FAIL	vibe-ic-marketplace/plugins		present	content already in main (landed_patch); 6 stale authored lines remain
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-macro-globalconnect	fix/hardmacro-supply-globalconnect	291e7ed0b	UNLANDED	2	1	1523	19549	1523	0	0		2026-07-22	RECOVER	R2	fix(phase3): auto add_global_connection for hard-macro POWER/GROUND supply pins before detailed routing	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py	present	1523 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-opentitan_aes-dft-clock-derive-clki-opentitan	dft-transition-engine-limited-opentitan	deaa3ad78	UNLANDED	5	2	382	6231	382	0	0		2026-07-23	LANDED	L3	fix(dft): DT1 at-speed ATPG engine-limited on generic netlist -> SKIPPED-CONDITION (not ERROR)	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/design_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_design_one_shot_runner.py	present	this tip landed in main under the same prose; tree is 6231 lines behind
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-opentitan_aes-lec-container-timeout	fix-lec-container-timeout-marker	37f7ea207	UNLANDED	2	1	30	848	30	0	0		2026-07-22	RECOVER	R2	fix(lec): classify container-`timeout` budget-kill of yosys equiv as INCONCLUSIVE, not a false FAIL	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_lec_run.py	present	30 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-opentitan_aes-lint-xor-fold-memberkey	fix-lint-xorfold-memberkey-opentitan	8a5c2ac08	UNLANDED	3	1	62	1211	62	0	0		2026-07-23	RECOVER	R2	fix(rtl-hygiene-lint): XOR shift-fold is edge-idiom (WARN); assignment-pattern member key is not a use	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_shapec_emit_blocking_rules.py	present	62 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-opentitan_aes-tdf-netlist-discovery	fix-tdf-netlist-discovery	de709e230	UNLANDED	2	1	48	413	48	0	0		2026-07-22	RECOVER	R2	fix(dft): DT1 transition-ATPG discovers the flow's canonical `netlist.v`, not only `*_synth.v`	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/transition_fault_atpg_run.py	present	48 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-routeconv-grt273-plateau	fix/route-converge-grt273-plateau	e01949bb5	UNLANDED	4	4	2898	18122	2898	0	1		2026-07-25	RECOVER	R2	route-convergence: retract the fabricated CASE-B fixture, disclose the PRE-ROUTE congestion read (chip-AGNOSTIC, VERSION-LESS)	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/_watchdog.py,vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_gap_e2e_die_util_routing_feedback.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_route_plateau_and_ndr_disclosure.py	present	2898 lines in 4 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-sha256-corner	fix/sta-signoff-corner-from-pdk	61f8c39ae	LANDED_PATCH	2	0	1401	20052	1401	0	0		2026-07-22	LANDED	L1	fix(phase3): sign-off corner from the PDK STA_CORNERS, not a hardcoded ss_100C_1v40	vibe-ic-marketplace/plugins		present	content already in main (landed_patch); 1401 stale authored lines remain
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-sha256-regmap-defer	fix/bitlevel-fullstack-crypto-oracle-defer	9194cab70	UNLANDED	2	1	36	268	36	0	0		2026-07-23	RECOVER	R2	fix(bit-level-tb-gate): crypto/compute-accelerator register-map functional ORACLE is DEFERRED (WAIVED-DEFERRED), not a hard FAIL	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/bit_level_full_stack_tb_check.py	present	36 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-sha256-repair	fix-signoff-corner-pdk-reference	389d7461e	LANDED_PATCH	2	0	1401	20052	1401	0	0		2026-07-22	LANDED	L1	fix(phase3): sign-off corner from the PDK STA_CORNERS, not a hardcoded ss_100C_1v40	vibe-ic-marketplace/plugins		present	content already in main (landed_patch); 1401 stale authored lines remain
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-sha256-spef	fix/postroute-real-spef-repair	d90b6bb0a	UNLANDED	2	2	1530	19941	1530	0	0		2026-07-22	RECOVER	R2	fix(phase3): SHIP a post-route real-SPEF setup repair at the slow sign-off corner	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_phase3_backend_fixes.py	present	1530 lines in 2 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-sha256-sta	fix/sha256-ss-sta	f57ef35df	LANDED_FILE	0	0	0	0	0	0	0		2026-07-24	LANDED	L0	fix(phase3-sta): emit set_max_fanout from L9 SYNTH_MAX_FANOUT so repair_design splits high-fanout nets			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-wt-a857c45b-gconn	/home/reyerchu/vibe-ic-wt-sha256-synthdontuse	fix/synth-dont-use-timing-driven-abc	c5f24801f	UNLANDED	2	1	1485	19904	1485	0	0		2026-07-22	RECOVER	R2	fix(phase3): read the PDK's synth_excluded.cells + timing-driven ABC for every clocked class; keep clock-DELAY cells out of the PnR optimizer	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py	present	1485 lines in 1 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/vibe-ic-wt-sha256-tdp	fix/phase3-timing-driven-placement	735704b85	UNLANDED	2	2	1435	19125	1435	0	0		2026-07-22	RECOVER	R2	fix(phase3): timing-driven global placement (slack-weighted), the ORFS/OpenLane default	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_phase3_routability_driven_placement.py	present	1435 lines in 2 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/wt-capture-imagepin	capture/container-image-pin-unverified	bf2a761c3	UNLANDED	2	2	5	123	5	0	0		2026-07-26	RECOVER	R2	capture(container-pin): the run's --container names a CONTAINER, so the IMAGE it executes was never verified or recorded	vibe-ic-marketplace/plugins	vibe-ic-marketplace/plugins/vibe-ic/programs/container_image_provenance.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_container_image_provenance.py	present	5 lines in 2 file(s) absent from main
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/wt-capture-preflight	capture/spec-required-artifact-preflight	f4ebbdc95	LANDED_PATCH	2	0	3	26	3	0	0		2026-07-26	LANDED	L1	capture(spec-artifacts): the spec-declared required-artifact list is knowable at rtl_gen handoff but is only checked after the whole Phase-2 pipeline	vibe-ic-marketplace/plugins		present	content already in main (landed_patch); 3 stale authored lines remain
105	/home/reyerchu/vibe-ic-repo	/home/reyerchu/wt-sha256-1666	run/sha256-1666	aafc5fe9d	LANDED_FILE	0	0	0	0	0	0	0	345	2026-07-26	LANDED	L0	fix(l9-pin-gate): the exclusion advisories were silent on FAIL — the one path where they matter (#345 salvage 1+3) [v1.6.67]			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/js_ee849c19e	(detached)	ee849c19e	LANDED_FILE	0	0	0	0	0	0	0		2026-08-16	LANDED	L0	fix(gatekeeper): supervise nested pytest by semantic progress			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_2efa6af35be69b409bfe9c95026e5c0a03ba56bf_0	(detached)	2efa6af35	LANDED_FILE	0	0	0	0	0	0	0		2026-08-15	LANDED	L0	[v1.10.43] the last 3 open PRs, conflicts resolved			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_36db60639da89dd18d116363049c9c23bb05f259_0	(detached)	36db60639	LANDED_FILE	0	0	0	0	0	0	0		2026-08-16	LANDED	L0	fix: the skip helper's own guarantee was a sentence, not a test			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_3850b444c5654f66f4d6d9a3df3f3c03bde2e877_0	(detached)	3850b444c	LANDED_FILE	0	0	0	0	0	0	0		2026-08-15	LANDED	L0	fix: the two findings this batch genuinely introduced			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_6a092da303c282cf9bab4fdfe48d0b0b985c3dce_0	(detached)	6a092da30	LANDED_FILE	0	0	0	0	0	0	0		2026-08-15	LANDED	L0	Merge commit 'refs/b43/1676' into HEAD			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_772c31dcb41a1625bf1c69832628722958752cb9_0	(detached)	772c31dcb	LANDED_FILE	0	0	0	0	0	0	0	1696	2026-08-16	LANDED	L0	fix(watchdog): bound and parallelize landing gates (#1696)			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_8172cb0b675051e6e8122a5cc6a3e0dc9ebf64c6_0	(detached)	8172cb0b6	LANDED_FILE	0	0	0	0	0	0	0		2026-08-16	LANDED	L0	chore(63x8): regenerate the census, and say what the new numbers mean			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d_0	(detached)	9a6c0f0b0	UNLANDED	635	2	3	4	3	0	0		2026-08-17	RECOVER	R2	docs(benchmark-agent): point the skill at the repositories, not at directories that are gone	benchmark-data/BENCHMARK_IC_CAMPAIGN_STATUS.md,benchmark-data/evaluation,benchmark-data/evidence_citation_baseline.json,benchmark-data/ic,benchmark-data/PUBLISHING.md,benchmark_external/cvdp	.gitmodules,vibe-ic-marketplace/plugins/vibe-ic/agents/benchmark-agent.md	present	3 lines in 2 file(s) absent from main
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_a4e2228eb581068976f8141c76787b4c8b8f5c2d_0	(detached)	a4e2228eb	LANDED_FILE	0	0	0	0	0	0	0		2026-08-15	LANDED	L0	[v1.10.44] 18 PRs, with the programs index re-derived			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_b486b862c7a0eb1eb4354b7b6bd4c8cf7dea5740_0	(detached)	b486b862c	UNLANDED	23	16	272	4594	259	0	0		2026-08-15	RECOVER	R2	Merge commit 'refs/b45/1684' into HEAD	tools/ci,vibe-ic-marketplace/plugins	tools/ci/repo_hygiene_gates.sh,vibe-ic-marketplace/plugins/vibe-ic/programs/checker_execution_wiring_audit.py,vibe-ic-marketplace/plugins/vibe-ic/programs/ci_harness_timeout_ceiling_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/step_internal_fail_bubble_up_baseline.json,vibe-ic-marketplace/plugins/vibe-ic/programs/step_internal_fail_bubble_up_check.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_ci_harness_timeout_ceiling_check.py	present	259 authored lines absent from main (+13 regenerable)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_c5d7f2d00e1df23c35a8e289bc1dc3d29b62eee9_0	(detached)	c5d7f2d00	LANDED_FILE	0	0	0	0	0	0	0		2026-08-16	LANDED	L0	chore: move published benchmark results to vibeic/benchmark-data			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_c8c2ab0f750efe97b5804f1bf41c279d28e4d2e5_0	(detached)	c8c2ab0f7	LANDED_FILE	0	0	0	0	0	0	0		2026-08-16	LANDED	L0	test: apply the corpus-absent skip only where it is MEASURED to be needed			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_e20d37fd49abd4775ddd7b32450c9226847f91cb_0	(detached)	e20d37fd4	LANDED_FILE	0	0	0	0	0	0	0		2026-08-15	LANDED	L0	Merge commit 'refs/b45/1684' into HEAD			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
105	/home/reyerchu/vibe-ic-shard	/tmp/shard_ee849c19e4208b0c2e22795b9a02a5d08210c270_0	(detached)	ee849c19e	LANDED_FILE	0	0	0	0	0	0	0		2026-08-16	LANDED	L0	fix(gatekeeper): supervise nested pytest by semantic progress			present	holds 0 lines main lacks (it is 0 lines BEHIND main)
108	/home/reyerchu/vibe-ic	/home/reyerchu/_L1347	(detached)	f2080e142	LANDED_PATCH	3	0	8	49	8	0	0	1347	2026-08-19	LANDED	L1	wiring audit: a NAME IN A SENTENCE was counted as an EXECUTION PATH (#1347)	vibe-ic-marketplace/plugins			content already in main (landed_patch); 8 stale authored lines remain
108	/home/reyerchu/vibe-ic	/home/reyerchu/_cpath_priv/base	(detached)	867de4289	LANDED_FILE	0	0	0	0	0	0	0		2026-08-21	LANDED	L0	flow(ACTIVATE): retire step 37.5self — the general precheck is 37.5ic's SECOND ARM, not a third route [v1.11.18]				holds 0 lines main lacks (it is 0 lines BEHIND main)
108	/home/reyerchu/vibe-ic	/home/reyerchu/_cpath_priv/tree	cpath/pad-and-seal-ring-chip-path	867de4289	LANDED_FILE	0	0	0	0	0	0	2		2026-08-21	LANDED	L0	flow(ACTIVATE): retire step 37.5self — the general precheck is 37.5ic's SECOND ARM, not a third route [v1.11.18]				holds 0 lines main lacks (it is 0 lines BEHIND main)
