host	path	verdict	evidence
112	/home/reyerchu/_gf180_priv/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/eda_report_audit.py: sha256 3b20558830519d32 in this tree vs 59f06a281b1c841a on main a00f53f20; 37 lines across 3 file(s) absent from main (779 lines behind). tip: report audit: it could READ a KLayout report database and could not FIND one
112	/home/reyerchu/_gf180_priv/wt2	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: landing(ACTIVATE): wire what the fourteen lanes shipped, and redden the one clause that co
112	/home/reyerchu/_i_batch103	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 5686 lines across 137 file(s) absent from main (36221 lines behind). tip: probe: regenerate INDEX.md — the 12 INDEX-only members merged CLEAN, so no conflict stop
112	/home/reyerchu/_i_batchv2	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 5645 lines across 131 file(s) absent from main (35825 lines behind). tip: probe: regenerate INDEX.md after batch assembly
112	/home/reyerchu/_i_batchv3	RECOVER	README.md: sha256 5794d680732fe924 in this tree vs 2e9435de94f1cbec on main a00f53f20; 5520 lines across 119 file(s) absent from main (34933 lines behind). tip: probe: re-derive INDEX.md and empty _DEFERRED_LAYER3_EDGES after assembly
112	/home/reyerchu/_i_pin_v1519_1091	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/policy_direction_pin_check.py: sha256 3953e1dc722b9de1 in this tree vs cfec9c286686f271 on main a00f53f20; 47 lines across 2 file(s) absent from main (1035 lines behind). tip: Merge commit 'e1893d0b601b20ae21ca9b5b356d33d4d894aff6' into HEAD
112	/home/reyerchu/_i_solo_1126	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py: sha256 2f3d35840b14869d in this tree vs 9f1890efeaf4db6f on main a00f53f20; 79 lines across 2 file(s) absent from main (628 lines behind). tip: Merge commit '92570aed8d69fcce54e1d21f4e775e9b833e470b' into HEAD
112	/home/reyerchu/_i_solo_1517	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/matrix_mutation_ledger.py: sha256 d0f6a62958b80568 in this tree vs 92864809ff416bea on main a00f53f20; 88 lines across 2 file(s) absent from main (1765 lines behind). tip: Merge commit 'add390f3190a1ea9b1a163a94b1ca75bc5f8b2f7' into HEAD
112	/home/reyerchu/_jcorpus/base	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: landing(ACTIVATE): wire what the fourteen lanes shipped, and redden the one clause that co
112	/home/reyerchu/_jcorpus/tree	RECOVER	RESULT.md: sha256 b9d65a1c1662035b in this tree, FILE ABSENT from main a00f53f20; 2433 lines across 10 file(s) absent from main (196 lines behind). tip: docs(jcorpus): state the A/B population exactly -- 111 files common, 2 tree-only
112	/home/reyerchu/_jd3	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: ppa(crosslayer): an agent that read the specification beat a tuner that did not, WITHOUT g
112	/home/reyerchu/_jppa_contract/tree	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/contract.py: sha256 7d64510f664452ec in this tree vs 87c095f3a3e987a0 on main a00f53f20; 30 lines across 7 file(s) absent from main (206 lines behind). tip: ppa(contract): the docstring listing the codes was already two behind
112	/home/reyerchu/_jppa_search/tree	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/backends/__init__.py: sha256 09991d69daca9e05 in this tree vs 80d38ce7735cff76 on main a00f53f20; 137 lines across 5 file(s) absent from main (376 lines behind). tip: ppa(search): a plan was declaring the manifest schema it could not satisfy
112	/home/reyerchu/_jppa_skills/tree	LANDED	all 28 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: ppa/skills: six agent skills that report and propose, and a gate that stops them claiming
112	/home/reyerchu/_steps68	RECOVER	vibe-ic-marketplace/README.md: sha256 dbff507c9ee1a1a0 in this tree vs a8b1167e2cd0874b on main a00f53f20; 40 lines across 11 file(s) absent from main (49 lines behind). tip: docs(flow): 12 prose sites said 63 or 44; each was read, and four of them meant something 
112	/home/reyerchu/_v1126	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py: sha256 2f3d35840b14869d in this tree vs 9f1890efeaf4db6f on main a00f53f20; 79 lines across 2 file(s) absent from main (628 lines behind). tip: Merge remote-tracking branch 'origin/fix/1029-the-killer-must-clean-up' into HEAD
112	/home/reyerchu/_v1290	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/matrix_63x8/waivers.py: sha256 6696a3c8344e16e8 in this tree vs eba3e19756b7e184 on main a00f53f20; 79 lines across 2 file(s) absent from main (537 lines behind). tip: Merge remote-tracking branch 'origin/fix/1289-cite-evidence-by-content' into HEAD
112	/home/reyerchu/vibe-ic-wt-a3prov	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/analog_a4_corner_sweep_check.py: sha256 117384fb9a3ef43b in this tree vs 06aaf07cf68511cd on main a00f53f2; 122 lines across 10 file(s) absent from main (2052 lines behind). tip: analog: A4 must not stand a built-in testbench in for an absent A3 netlist
112	/home/reyerchu/vibe-ic-wt-caravel-slew-drv2	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py: sha256 1c8dadb281dfee72 in this tree vs 8dcd4d70c1002f78 on main a00f53f2; 1853 lines across 2 file(s) absent from main (18661 lines behind). tip: fix(phase3): spare-net-safe routing clear + re-enable DRV wire-length escalation
112	/home/reyerchu/vibe-ic-wt-caravel-slew-drv3	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py: sha256 1c8dadb281dfee72 in this tree vs 8dcd4d70c1002f78 on main a00f53f2; 1853 lines across 2 file(s) absent from main (18661 lines behind). tip: fix(phase3): spare-net-safe routing clear + re-enable DRV wire-length escalation
112	/home/reyerchu/vibe-ic-wt-subservient-l10-cpu-oracle	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/l10_tb_conformance_check.py: sha256 bc3925bfc00cdcc6 in this tree vs ce9e097cd184a99f on main a00f53f2; 145 lines across 1 file(s) absent from main (1429 lines behind). tip: fix(l10_tb): add CPU functional-oracle waiver for processor_cpu class (ORGANIC #851)
112	/tmp/anchorfix	RECOVER	tools/vibeic-eda/sync_image_version.py: sha256 85b3df7b51579db2 in this tree, FILE ABSENT from main a00f53f2; 1256 lines across 1 file(s) absent from main (0 lines behind). tip: fix(anchor): resolve the adoption target by manifest, not the cached tag list
112	/tmp/claude-1000/-home-reyerchu/4b968d04-058f-4158-87d8-380f5eedccae/scratchpad/vibeic-check	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/_eda_image.py: sha256 4dab3fb8ae231f26 in this tree vs d6d26d5ddb590f92 on main a00f53f20; 208 lines across 4 file(s) absent from main (1315 lines behind). tip: eda-image: an unreachable registry must not forget which image this tree names
112	/tmp/claude-1000/-home-reyerchu/4b968d04-058f-4158-87d8-380f5eedccae/scratchpad/vibeic-decouple	RECOVER	README.md: sha256 928cfb50ad3ce0c7 in this tree vs 2e9435de94f1cbec on main a00f53f20; 96 lines across 9 file(s) absent from main (1399 lines behind). tip: eda-image: ask which image is current instead of remembering a version
121	/home/reyerchu/_advkill_lgate	RECOVER	README.md: sha256 19501417136a66ff in this tree vs 2e9435de94f1cbec on main a00f53f20; 195 lines across 12 file(s) absent from main (1550 lines behind). tip: feat(landing): differential regression semantics for the direct-push gate
121	/home/reyerchu/_adv_lgate_unknown	RECOVER	tools/gatekeeper-land-differential.sh: sha256 2ab5c639721f8902 in this tree vs 2b8735f27571a5b0 on main a00f53f20; 147 lines across 5 file(s) absent from main (1487 lines behind). tip: fix(landing): a foreign-host base arm is a cross-check, never a subtraction
121	/home/reyerchu/_agentjob_i1027rw/wt	RECOVER	README.md: sha256 74e1640fd7ef1a09 in this tree vs 2e9435de94f1cbec on main a00f53f20; 86960 lines across 28 file(s) absent from main (5771 lines behind). tip: tests: give the paired both-directions bus-width guard a fixture it owns
121	/home/reyerchu/_agentjob_lgate/gate	RECOVER	tools/gatekeeper-land-differential.sh: sha256 8da4254db0ff4b62 in this tree vs 2b8735f27571a5b0 on main a00f53f20; 182 lines across 5 file(s) absent from main (1582 lines behind). tip: gate: differential landing (measurement tree)
121	/home/reyerchu/_agent_scratch_sub_gf180_11029/wt_pr	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/data/riscv_isa_ref_oracle/README.txt: sha256 810bd00387a5adee in this tree, FILE ABSENT from main a00f53f20; 1234 lines across 13 file(s) absent from main (1 lines behind). tip: verify: a waiver claimed a capability the flow's own image already has
121	/home/reyerchu/AI_IC_design/_jm9_base	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: landing(ACTIVATE): wire what the fourteen lanes shipped, and redden the one clause that co
121	/home/reyerchu/AI_IC_design/_jm9_wt	RECOVER	RESULT.md: sha256 9a80989317a450cb in this tree, FILE ABSENT from main a00f53f20; 793 lines across 12 file(s) absent from main (591 lines behind). tip: RESULT.md: the measured account of the ninth dimension and the reds around it
121	/home/reyerchu/AI_IC_design/_jppasearch_wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml: sha256 afd8cf2c227170af in this tree vs 5f691984067c906f on main a00f53f20; 2826 lines across 8 file(s) absent from main (1277 lines behind). tip: ppa: --resume published an INTERRUPTION as a measurement
121	/home/reyerchu/AI_IC_design/wt-all	RECOVER	vibe-ic-marketplace/README.md: sha256 3282f8c5f0354098 in this tree vs a8b1167e2cd0874b on main a00f53f20; 61 lines across 4 file(s) absent from main (124 lines behind). tip: integrate: regenerate the derived artefacts over the COMPLETE tree, and move the flow coun
121	/home/reyerchu/AI_IC_design/wt-all2	RECOVER	vibe-ic-marketplace/README.md: sha256 45264c0815ea1974 in this tree vs a8b1167e2cd0874b on main a00f53f20; 82 lines across 5 file(s) absent from main (128 lines behind). tip: integrate: re-examine the not-a-count registry the reworded sentence is pinned by
121	/home/reyerchu/AI_IC_design/wt-gint-twopaths	RECOVER	vibe-ic-marketplace/README.md: sha256 487472bf4ecdd73b in this tree vs a8b1167e2cd0874b on main a00f53f20; 46 lines across 3 file(s) absent from main (51 lines behind). tip: integrate: regenerate the derived artefacts once, after the merge
121	/home/reyerchu/AI_IC_design/wt-jw2-placement	RECOVER	vibe-ic-marketplace/README.md: sha256 60b9f4899542532f in this tree vs a8b1167e2cd0874b on main a00f53f20; 1608 lines across 7 file(s) absent from main (2205 lines behind). tip: fix(phase3): record what this gate does NOT redden, measured over every reachable run root
121	/home/reyerchu/AI_IC_design/wt_jwire2	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: ppa(crosslayer): an agent that read the specification beat a tuner that did not, WITHOUT g
121	/home/reyerchu/AI_IC_design/wt-w3-unforgeable	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/benchmark/score_iverilog_tb.py: sha256 9c4b72e17837c982 in this tree vs fa31bd02e57d76e5 on main a00f53f20; 1743 lines across 8 file(s) absent from main (336 lines behind). tip: benchmark(#1745): a published pass must be earned, and a problem nobody answered must not 
121	/home/reyerchu/_c_o_caravel_user_project_sky130A_c2_scratch/r8/main	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/metal_fill/metal_fill.py: sha256 256b2c92ef7884e1 in this tree vs b64d5b20170b87c2 on main a00f53f20; 712 lines across 2 file(s) absent from main (8270 lines behind). tip: metal fill: a fill cell that was never placed is a second top cell, and sign-off DRC then 
121	/home/reyerchu/_c_o_caravel_user_project_sky130A_c2_scratch/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/asap7_finfet_lvs.py: sha256 57ebb659d94ed08d in this tree vs 7a198f78c7afa824 on main a00f53f20; 891 lines across 6 file(s) absent from main (8949 lines behind). tip: signoff: the sign-off DRV loop repaired to 53x tighter than the process needs, and OpenROA
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_c2_scratch/wt_scope	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/break_handler_safety_check.py: sha256 85a7b59e5567530a in this tree vs b779eaf1e10527f2 on main a00f53f20; 32 lines across 4 file(s) absent from main (103 lines behind). tip: fix(phase2): the three source changes for the RTL-scope fix
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_c2_scratch/wt_sdc	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py: sha256 f4ba742f2c576e69 in this tree vs 8dcd4d70c1002f78 on main a00f53f20; 815 lines across 1 file(s) absent from main (8524 lines behind). tip: fix(phase3): the design's own SDC was never read, and the runner's fabricated one was laun
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_c3_scratch/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py: sha256 abdfcec90ef63c02 in this tree vs 8dcd4d70c1002f78 on main a00f53f20; 709 lines across 2 file(s) absent from main (8199 lines behind). tip: phase3: the netlist repair guarded the file the runner had just produced, not the one it r
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_scratch/wt_cdc	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/rtl_scan_scope.py: sha256 907eadc7c0d2d43b in this tree vs f650bd329f6b2b48 on main a00f53f20; 1 lines across 1 file(s) absent from main (30 lines behind). tip: fix(scan-scope): the flow's own steps/ publication view was scanned as authoritative RTL
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_scratch/wt_run	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py: sha256 584069356df937e1 in this tree vs 8dcd4d70c1002f78 on main a00f53f20; 815 lines across 2 file(s) absent from main (8836 lines behind). tip: fix(phase3): nangate's tie cells exist, and 27,121 spare cells were left floating because 
121	/home/reyerchu/_c_o_edge_llm_matmul_accel_nangate45_scratch/wt_pr	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/lec_run.py: sha256 aa5908486244776d in this tree vs b2de75555d9ce73d on main a00f53f20; 2 lines across 1 file(s) absent from main (70 lines behind). tip: lec: a budget kill with partial progress was reported as a possible real difference
121	/home/reyerchu/_c_o_edge_llm_matmul_accel_nangate45_scratch/wt_pr2	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/declared_pdk_is_the_pdk_used_check.py: sha256 22a689133659ed73 in this tree vs 33ca4985cd06397b on main a00f53f20; 96 lines across 2 file(s) absent from main (476 lines behind). tip: pdk: the gate that proves the process could not read the L-doc schema phase 1 emits
121	/home/reyerchu/_c_rt_edge_llm_accel_scratch/wt_prose	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/spi_protocol_synth.py: sha256 34767d08f3d5607f in this tree vs b569a23e04a434a5 on main a00f53f20; 23 lines across 1 file(s) absent from main (37 lines behind). tip: A canned note must not outlive the fact it explains
121	/home/reyerchu/_c_rt_sha256_scratch/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/spi_protocol_synth.py: sha256 cdb71739eadda6a8 in this tree vs b569a23e04a434a5 on main a00f53f20; 21 lines across 2 file(s) absent from main (72 lines behind). tip: fix(phase1): an L-doc note must not deny its own populated field
121	/home/reyerchu/_c_rt_u_hawaii_adc_scratch/wt_fix	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/declared_pdk_is_the_pdk_used_check.py: sha256 da359c7dd6ed468a in this tree vs 33ca4985cd06397b on main a00f53f20; 80 lines across 2 file(s) absent from main (742 lines behind). tip: pdk gate: "no library was loaded" is not evidence that the wrong PDK was used
121	/home/reyerchu/_d7wt/fix	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml: sha256 9426a436ed7fab70 in this tree vs 5f691984067c906f on main a00f53f20; 619 lines across 7 file(s) absent from main (3073 lines behind). tip: d7: a write record that named no producer was read as one, so the flow's own "I could not 
121	/home/reyerchu/_d9_p1c	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml: sha256 ec1478ae34ecac03 in this tree vs 5f691984067c906f on main a00f53f20; 99 lines across 5 file(s) absent from main (2287 lines behind). tip: census: regenerate the 63x8 anchored figures after the gate-declaration change
121	/home/reyerchu/_fga_scratch/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml: sha256 ef8e13b53ee14f36 in this tree vs 5f691984067c906f on main a00f53f20; 39 lines across 3 file(s) absent from main (1968 lines behind). tip: gates: two obstruction gates were silent about where their verdict is enforced
121	/home/reyerchu/_fix904_scratch/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml: sha256 f12515fc5ea497b2 in this tree vs 5f691984067c906f on main a00f53f20; 1234 lines across 5 file(s) absent from main (2061 lines behind). tip: analog: a design document denied a PDK capability the install ships (#904)
121	/home/reyerchu/_j4reds2/base	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: flow(ACTIVATE): retire step 37.5self — the general precheck is 37.5ic's SECOND ARM, not 
121	/home/reyerchu/_j4reds3/base	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: flow(ACTIVATE): retire step 37.5self — the general precheck is 37.5ic's SECOND ARM, not 
121	/home/reyerchu/_jcap_priv/wt	RECOVER	jcap-chip/RESULT.md: sha256 38700152ef057272 in this tree, FILE ABSENT from main a00f53f20; 730 lines across 9 file(s) absent from main (0 lines behind). tip: capture(jcap-chip): RESULT — 15 already-program rules named, 13 new deterministic record
121	/home/reyerchu/_jppa_agent/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/ppa_agent_context_build.py: sha256 6123a214e898ec4e in this tree vs 1359d33448642b32 on main a00f53f20; 4 lines across 2 file(s) absent from main (18 lines behind). tip: ppa(agent): A0 control plane — the program keeps the cases it can decide
121	/home/reyerchu/_jppa_metrics/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/metrics.py: sha256 ba8182408259be29 in this tree vs e05d868497eec9a9 on main a00f53f20; 68 lines across 5 file(s) absent from main (549 lines behind). tip: ppa(metrics): a scope field one side never declared is not a field whose value is null
121	/home/reyerchu/_ld/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_signoff_medlow_backlog_gaps.py: sha256 9b6f32d831505f97 in this tree vs 348dbf21d7c00575 on main a00f53f20; 113 lines across 1 file(s) absent from main (72 lines behind). tip: revert the d4/step1 flow change out of this PR — it reddens 5 register tests, split to i
121	/home/reyerchu/_LRNdh	RECOVER	docs/research/2026-08-19-deepseek-harness-mechanism-study.md: sha256 5f15d4a09db18d1f in this tree, FILE ABSENT from main a00f53f20; 558 lines across 2 file(s) absent from main (0 lines behind). tip: research: deepseek-harness SOURCE study at 99f6f02fe (supersedes prose-only study)
121	/home/reyerchu/_nv/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/conftest.py: sha256 1880a36fc3f8840e in this tree vs 2321f30509da6f4e on main a00f53f20; 70 lines across 10 file(s) absent from main (423 lines behind). tip: INDEX.md: the row for not_verified_tier (regenerated with tools/gen_programs_index.py)
121	/home/reyerchu/_orfs/wt	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml: sha256 e2e01021d50f4c98 in this tree vs 5f691984067c906f on main a00f53f20; 179 lines across 5 file(s) absent from main (3687 lines behind). tip: 63x8 figures: the one advisory clause this PR declares (regenerated with tools/gen_matrix_
121	/home/reyerchu/_ptmo_priv/ppa	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: ppa(report): claims.json, and the page-claim gate that enforces the sentences we may not p
121	/home/reyerchu/_smrg_priv/smrg_base	LANDED	all 0 file(s) this tree changed hash-match main a00f53f20 byte for byte (git blob ids equal for every one); nothing in it is absent from main. tip: findings: one die, eight arms, and the three rows that were already closed [v1.11.14]
121	/home/reyerchu/wt922	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/signoff_audit.py: sha256 94f5fa74e04e5588 in this tree vs 82ae17ce856f7ac5 on main a00f53f20; 487 lines across 5 file(s) absent from main (674 lines behind). tip: fix(waivers): a growth rationale covers the waivers it names, not every later one (vibe-ic
121	/home/reyerchu/wt_k3_dep	RECOVER	tools/gatekeeper-land.sh: sha256 60555a76b8f6799f in this tree vs 6f771cc98d2a907b on main a00f53f20; 315 lines across 4 file(s) absent from main (1040 lines behind). tip: front3 under test
121	/home/reyerchu/_wt_sha256_sta	RECOVER	vibe-ic-marketplace/plugins/vibe-ic/programs/spec_declaration_emit.py: sha256 cb2e37425d38d50f in this tree vs 523057de2d0c09f1 on main a00f53f20; 444 lines across 4 file(s) absent from main (19 lines behind). tip: declaration: an UNDETERMINED field reported a search the program did not run
