# jharv3 independent raw measurements of shard C rows on .112 and .121, taken from .108 via .102.
# NOT a verdict file. This is the measurement jharv2 asked to cross-check against verdicts_shard_c_80_recovered.tsv.
# host	path	state	head	branch	main_sha	own	differ	novel	super	nadd	ndel	code_add	trk_edits	subject	evidence(file|sha_head|sha_main|lines_head|lines_main)
112	/home/reyerchu/_i_batchv3	OK	78f99ee5f23231d23980dded04d73aec34e108ce	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	242	119	94	24	5520	34933	4631	0	probe: re-derive INDEX.md and empty _DEFERRED_LAYER3_EDGES after assembly 	benchmark-data/evaluation/verilogeval_human/RESULT.md|8863d380f14625ce|ABSENT_ON_MAIN|144|0
112	/home/reyerchu/_i_pin_v1519_1091	OK	33acdb41e0c5a1e6c0117069f178b1984b198477	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	3	2	2	0	47	1035	47	0	Merge commit 'e1893d0b601b20ae21ca9b5b356d33d4d894aff6' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/policy_direction_pin_check.py|3953e1dc722b9de1|cfec9c286686f271|820|1624
112	/home/reyerchu/_i_solo_1126	OK	30ca1a916507478dbe53f7517e3b16f76fa6efde	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	79	628	79	0	Merge commit '92570aed8d69fcce54e1d21f4e775e9b833e470b' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py|2f3d35840b14869d|9f1890efeaf4db6f|885|1434
112	/home/reyerchu/_i_solo_1517	OK	097b91daaff0cf0cd1bb8ad47f757ef4b0b2639e	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	88	1765	88	0	Merge commit 'add390f3190a1ea9b1a163a94b1ca75bc5f8b2f7' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/matrix_mutation_ledger.py|d0f6a62958b80568|92864809ff416bea|2516|3227
112	/home/reyerchu/_jcorpus/base	OK	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	0	0	0	0	landing(ACTIVATE): wire what the fourteen lanes shipped, and redden the one clause that could not go red [v1.11.33] 	-|-|-|0|0
112	/home/reyerchu/_jcorpus/tree	OK	aeb888694f8fe4fde567ee37d00fa25d3fdb38d9	jcorpus/ppa-corpus-mode	a00f53f2094812041c8aa6094f27058bc1b14ddd	10	10	10	0	2433	196	2433	0	docs(jcorpus): state the A/B population exactly -- 111 files common, 2 tree-only 	RESULT.md|b9d65a1c1662035b|ABSENT_ON_MAIN|668|0
112	/home/reyerchu/_jd3	OK	66e0806689ecebaca790e037418676fad45b9de6	fix/jd3-d3-declaration-parity	a00f53f2094812041c8aa6094f27058bc1b14ddd	3	3	3	0	212	17	204	0	d3 parity(step 31): the manifest was short, not the declaration — and the key alone was never the property 	vibe-ic-marketplace/plugins/vibe-ic/programs/d3_manifest_declaration_parity_check.py|f7e68c793cc50edb|ac6c915e9083e606|292|218
112	/home/reyerchu/_jppa_contract/tree	OK	e59fb46f38982b0034d62d7e36ce0003933bb709	jppa-contract	a00f53f2094812041c8aa6094f27058bc1b14ddd	12	7	7	0	30	206	30	0	ppa(contract): the docstring listing the codes was already two behind 	vibe-ic-marketplace/plugins/vibe-ic/programs/ppa_contract_build.py|c01eea0571da6fe5|de902a4ca3d4a497|148|151
112	/home/reyerchu/_jppa_search/tree	OK	dd98dab4baaa659ca24fb1edf1fd10f966c0e220	jppa-search/ppa-search-layer	a00f53f2094812041c8aa6094f27058bc1b14ddd	8	5	5	0	137	376	137	0	ppa(search): a plan was declaring the manifest schema it could not satisfy 	vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/backends/__init__.py|09991d69daca9e05|80d38ce7735cff76|12|127
112	/home/reyerchu/_jppa_skills/tree	OK	39b985af57acb42a71855fb323391dac747880f5	jppa-skills/six-ppa-skills	a00f53f2094812041c8aa6094f27058bc1b14ddd	28	0	0	0	0	0	0	0	ppa/skills: six agent skills that report and propose, and a gate that stops them claiming 	-|-|-|0|0
112	/home/reyerchu/_steps68	OK	8aeb759d0e224d80c61d43ba86de258f25483f16	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	11	11	11	0	40	49	40	0	docs(flow): 12 prose sites said 63 or 44; each was read, and four of them meant something other than the flow's size 	vibe-ic-marketplace/plugins/vibe-ic/agents/ic-expert-agent.md|d138119acf655ad2|dde58e47f32ace72|3611|3607
112	/home/reyerchu/_v1126	OK	a7b1ed913e21485660bfa3d9d5ba69042dabaea4	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	79	628	79	0	Merge remote-tracking branch 'origin/fix/1029-the-killer-must-clean-up' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/gate_host_independence_check.py|2f3d35840b14869d|9f1890efeaf4db6f|885|1434
112	/home/reyerchu/_v1290	OK	69fa7107d6a2dde02ef35484f99e6ac8f8d5a9ee	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	1	1	79	537	79	0	Merge remote-tracking branch 'origin/fix/1289-cite-evidence-by-content' into HEAD 	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/matrix_63x8/waivers.py|6696a3c8344e16e8|eba3e19756b7e184|1201|1317
112	/home/reyerchu/vibe-ic-wt-a3prov	OK	bcaa9bc9e70a03a335cbdeaa7459493072d871e5	fix/analog-a3-netlist-provenance-gate	a00f53f2094812041c8aa6094f27058bc1b14ddd	10	10	7	3	122	2052	122	0	analog: A4 must not stand a built-in testbench in for an absent A3 netlist 	vibe-ic-marketplace/plugins/vibe-ic/programs/analog_a4_corner_sweep_check.py|117384fb9a3ef43b|06aaf07cf68511cd|523|899
112	/home/reyerchu/vibe-ic-wt-caravel-slew-drv2	OK	b2c404a99d448cc938ee0238ab72c5d06e769bbc	fix/caravel-slew-drv-closure-v2	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	1853	18661	1853	0	fix(phase3): spare-net-safe routing clear + re-enable DRV wire-length escalation 	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py|1c8dadb281dfee72|8dcd4d70c1002f78|24673|41667
112	/home/reyerchu/vibe-ic-wt-caravel-slew-drv3	OK	27523121a3af873b33ec2668f0cbd4882c9dd8e7	fix/caravel-slew-drv-closure-v3	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	1853	18661	1853	0	fix(phase3): spare-net-safe routing clear + re-enable DRV wire-length escalation 	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py|1c8dadb281dfee72|8dcd4d70c1002f78|24673|41667
112	/home/reyerchu/vibe-ic-wt-subservient-l10-cpu-oracle	OK	77339fb8dd41f8b6f058092e8a8e3a6bbb1480b7	fix/l10-tb-cpu-oracle-waiver	a00f53f2094812041c8aa6094f27058bc1b14ddd	1	1	1	0	145	1429	145	0	fix(l10_tb): add CPU functional-oracle waiver for processor_cpu class (ORGANIC #851) 	vibe-ic-marketplace/plugins/vibe-ic/programs/l10_tb_conformance_check.py|bc3925bfc00cdcc6|ce9e097cd184a99f|906|2190
112	/tmp/anchorfix	OK	39106db564a2fd7cbd637ce10130e975e69460ad	fix/anchor-target-uses-per-tag-manifest	a00f53f2094812041c8aa6094f27058bc1b14ddd	1	1	1	0	1256	0	1256	0	fix(anchor): resolve the adoption target by manifest, not the cached tag list 	tools/vibeic-eda/sync_image_version.py|85b3df7b51579db2|ABSENT_ON_MAIN|1256|0
112	/tmp/claude-1000/-home-reyerchu/4b968d04-058f-4158-87d8-380f5eedccae/scratchpad/vibeic-check	OK	694b3dc0dcfb1e220674ec980cc793b385314460	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	4	4	4	0	208	1315	208	0	eda-image: an unreachable registry must not forget which image this tree names 	vibe-ic-marketplace/plugins/vibe-ic/programs/_eda_image.py|4dab3fb8ae231f26|d6d26d5ddb590f92|221|574
112	/tmp/claude-1000/-home-reyerchu/4b968d04-058f-4158-87d8-380f5eedccae/scratchpad/vibeic-decouple	OK	788af6188b066c209dcffbc847dfb48ca201d07c	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	12	9	5	4	96	1399	96	0	eda-image: ask which image is current instead of remembering a version 	vibe-ic-marketplace/plugins/vibe-ic/mcp-eda/INSTALL_GUIDE.md|e3fdf250417f043c|fbaaf50adb31a91b|814|815
121	/home/reyerchu/_advkill_lgate	OK	1c926d0c7a57795401f73de743fc31a60cd3cb84	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	13	12	8	1	195	1550	192	0	feat(landing): differential regression semantics for the direct-push gate 	README.md|19501417136a66ff|2e9435de94f1cbec|548|557
121	/home/reyerchu/_adv_lgate_unknown	OK	fa7c1382660a8d08d979b53f996979c7cc84feb8	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	6	5	4	1	147	1487	147	0	fix(landing): a foreign-host base arm is a cross-check, never a subtraction 	tools/gatekeeper-land-differential.sh|2ab5c639721f8902|2b8735f27571a5b0|684|752
121	/home/reyerchu/_agentjob_i1027rw/wt	OK	a925fcb35e92a4beb2240869fe1d8f79b19cca1e	rework/1027	a00f53f2094812041c8aa6094f27058bc1b14ddd	3870	29	29	0	86960	5771	537	0	tests: give the paired both-directions bus-width guard a fixture it owns 	benchmark-data/BENCHMARK_IC_CAMPAIGN_STATUS.md|fd799fc3bae89fa9|ABSENT_ON_MAIN|53|0
121	/home/reyerchu/_agentjob_lgate/gate	OK	bd20fc88d40bab2628686b4d2f8d24d28e7be81b	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	6	5	4	1	182	1582	182	0	gate: differential landing (measurement tree) 	tools/gatekeeper-land-differential.sh|8da4254db0ff4b62|2b8735f27571a5b0|643|752
121	/home/reyerchu/_agent_scratch_sub_gf180_11029/wt_pr	OK	f60c654ba01745cf116773a58a7073fa8c55ec78	feat/riscv-isa-ref-oracle-tb-gen	a00f53f2094812041c8aa6094f27058bc1b14ddd	13	13	13	0	1234	1	1234	0	verify: a waiver claimed a capability the flow's own image already has 	vibe-ic-marketplace/plugins/vibe-ic/data/riscv_isa_ref_oracle/common.inc|a2394e389954c97f|ABSENT_ON_MAIN|64|0
121	/home/reyerchu/AI_IC_design/_jm9_base	OK	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	0	0	0	0	landing(ACTIVATE): wire what the fourteen lanes shipped, and redden the one clause that could not go red [v1.11.33] 	-|-|-|0|0
121	/home/reyerchu/AI_IC_design/_jm9_wt	OK	bcb0beb669b55a8c2ecc1aeafacb474ccb08ea57	jm9/d9-verdict-consumed	a00f53f2094812041c8aa6094f27058bc1b14ddd	19	12	12	0	793	591	793	0	RESULT.md: the measured account of the ninth dimension and the reds around it 	RESULT.md|9a80989317a450cb|ABSENT_ON_MAIN|526|0
121	/home/reyerchu/AI_IC_design/_jppasearch_wt	OK	8bd7fe74cd5911d04dfbff5e9ff2efc1a43fc048	jppasearch/ppa-search-layer	a00f53f2094812041c8aa6094f27058bc1b14ddd	8	8	8	0	2826	1277	2826	0	ppa: --resume published an INTERRUPTION as a measurement 	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml|afd8cf2c227170af|5f691984067c906f|5991|6320
121	/home/reyerchu/AI_IC_design/wt-all	OK	e6370636c5eb77ed4c4a67435753341fd36161e9	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	4	4	4	0	61	124	43	0	integrate: regenerate the derived artefacts over the COMPLETE tree, and move the flow count 63 -> 68 	vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md|c03d856e7a9f44c6|c05ce3142b822686|2318|2386
121	/home/reyerchu/AI_IC_design/wt-all2	OK	81ef726f88fa404078a23c770bd88d8a46098bb2	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	5	5	5	0	82	128	64	0	integrate: re-examine the not-a-count registry the reworded sentence is pinned by 	vibe-ic-marketplace/plugins/vibe-ic/programs/gen_program_inventory.py|5706fed65098b448|5408f93c84b70f77|604|597
121	/home/reyerchu/AI_IC_design/wt-gint-twopaths	OK	fc4db8ecbd49b15d744f95066a544da595bcae01	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	10	3	3	0	46	51	28	0	integrate: regenerate the derived artefacts once, after the merge 	vibe-ic-marketplace/plugins/vibe-ic/programs/PROGRAM_INVENTORY.json|1a7927c8fdb810d3|7c6adee28bc9e00f|52|52
121	/home/reyerchu/AI_IC_design/wt-jw2-placement	OK	aea73f4c6c1274249ef7ecdf2a500066b7177511	jw2/placement-legality-verdict	a00f53f2094812041c8aa6094f27058bc1b14ddd	7	7	7	0	1608	2205	1591	0	fix(phase3): record what this gate does NOT redden, measured over every reachable run root 	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py|653324acd4d8011a|8dcd4d70c1002f78|40003|41667
121	/home/reyerchu/AI_IC_design/wt_jwire2	OK	f053de11ac80cc683e842971de364a13de5a4dc2	fix/jwire2-hygiene-wiring	a00f53f2094812041c8aa6094f27058bc1b14ddd	9	9	9	0	1440	9	1440	0	test(#1347): rc 3 indicts the wiring, and nothing was measuring that 	.github/PULL_REQUEST_TEMPLATE.md|7bdf0a675e6fb41f|ba823cfc2afc44cb|67|34
121	/home/reyerchu/AI_IC_design/wt-w3-unforgeable	OK	57adb87274cbb75e28eacba6deefdcff3fab579f	fix/1745-unforgeable-benchmark	a00f53f2094812041c8aa6094f27058bc1b14ddd	8	8	8	0	1743	336	1743	0	benchmark(#1745): a published pass must be earned, and a problem nobody answered must not leave the denominator 	vibe-ic-marketplace/plugins/vibe-ic/benchmark/score_iverilog_tb.py|9c4b72e17837c982|fa31bd02e57d76e5|2618|2542
121	/home/reyerchu/_c_o_caravel_user_project_sky130A_c2_scratch/r8/main	OK	d9b72217b028b51aead7545fe0c959a5e7cd06a5	fix/drv-repair-electrical-floor-r8	a00f53f2094812041c8aa6094f27058bc1b14ddd	3	2	2	0	712	8270	712	0	metal fill: a fill cell that was never placed is a second top cell, and sign-off DRC then does not run 	vibe-ic-marketplace/plugins/vibe-ic/programs/metal_fill/metal_fill.py|256b2c92ef7884e1|b64d5b20170b87c2|390|469
121	/home/reyerchu/_c_o_caravel_user_project_sky130A_c2_scratch/wt	OK	688aad2d32d611234bbe58eca55753be7496552b	fix/sdc-gen-surface-residue-r4	a00f53f2094812041c8aa6094f27058bc1b14ddd	7	6	3	3	891	8949	891	0	signoff: the sign-off DRV loop repaired to 53x tighter than the process needs, and OpenROAD segfaulted 	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py|233e844f01c4005f|8dcd4d70c1002f78|33911|41667
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_c2_scratch/wt_scope	OK	1f2aa7fefd8924f9be607ae16ccbc07167f5c25d	fix/rtl-scope-collectors-skip-flow-own-output	a00f53f2094812041c8aa6094f27058bc1b14ddd	4	4	4	0	32	103	32	0	fix(phase2): the three source changes for the RTL-scope fix 	vibe-ic-marketplace/plugins/vibe-ic/programs/break_handler_safety_check.py|85a7b59e5567530a|b779eaf1e10527f2|254|280
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_c2_scratch/wt_sdc	OK	4ec43a6ed578e14bfe0f8dc1b612f4ec5f8307ac	fix/staged-sdc-resolved-from-canonical-input-dir	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	1	1	0	815	8524	815	0	fix(phase3): the design's own SDC was never read, and the runner's fabricated one was laundered back as "design-staged" 	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py|f4ba742f2c576e69|8dcd4d70c1002f78|33958|41667
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_c3_scratch/wt	OK	9f41f420c5009a6a67927cf3ec4d9fa4b7e4f7df	c3-edge-nangate45	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	709	8199	709	0	phase3: the netlist repair guarded the file the runner had just produced, not the one it reused 	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py|abdfcec90ef63c02|8dcd4d70c1002f78|34181|41667
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_scratch/wt_cdc	OK	81211669ff01c2b2a09d5a5d6b71028f230eaefa	fix/cdc-gates-scan-scope-excludes-steps-publication-tree	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	1	1	0	1	30	1	0	fix(scan-scope): the flow's own steps/ publication view was scanned as authoritative RTL 	vibe-ic-marketplace/plugins/vibe-ic/programs/rtl_scan_scope.py|907eadc7c0d2d43b|f650bd329f6b2b48|111|140
121	/home/reyerchu/_c_o_edge_llm_accel_nangate45_scratch/wt_run	OK	791ba9807252bf44e4220cb39cff751d1f6b4612	run/edge-llm-nangate45-local	a00f53f2094812041c8aa6094f27058bc1b14ddd	8	2	1	1	815	8836	815	0	fix(phase3): nangate's tie cells exist, and 27,121 spare cells were left floating because the discoverer could not name them 	vibe-ic-marketplace/plugins/vibe-ic/programs/rtl_scan_scope.py|907eadc7c0d2d43b|f650bd329f6b2b48|111|140
121	/home/reyerchu/_c_o_edge_llm_matmul_accel_nangate45_scratch/wt_pr	OK	1dbe4ec61e3a1e678d676e89e10f69fd76d91ac9	lec-budget-kill-is-not-nonequivalence	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	1	1	0	2	70	2	0	lec: a budget kill with partial progress was reported as a possible real difference 	vibe-ic-marketplace/plugins/vibe-ic/programs/lec_run.py|aa5908486244776d|b2de75555d9ce73d|2166|2234
121	/home/reyerchu/_c_o_edge_llm_matmul_accel_nangate45_scratch/wt_pr2	OK	3175d1f2f507131ba1585429e82d200a67f98496	pdk-target-unreadable-in-canonical-l19	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	96	476	96	0	pdk: the gate that proves the process could not read the L-doc schema phase 1 emits 	vibe-ic-marketplace/plugins/vibe-ic/programs/declared_pdk_is_the_pdk_used_check.py|22a689133659ed73|33ca4985cd06397b|482|848
121	/home/reyerchu/_c_rt_edge_llm_accel_scratch/wt_prose	OK	8b69a09570778dfbf09298645f77b919c7d3f067	fix/canned-prose-must-not-outlive-the-fact-it-describes	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	1	1	0	23	37	23	0	A canned note must not outlive the fact it explains 	vibe-ic-marketplace/plugins/vibe-ic/programs/spi_protocol_synth.py|34767d08f3d5607f|b569a23e04a434a5|1047|1061
121	/home/reyerchu/_c_rt_sha256_scratch/wt	OK	639717eea3857ae51ba194730d95e5a627c7a98d	fix/l19-note-must-not-contradict-its-own-field	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	21	72	21	0	fix(phase1): an L-doc note must not deny its own populated field 	vibe-ic-marketplace/plugins/vibe-ic/programs/spi_protocol_synth.py|cdb71739eadda6a8|b569a23e04a434a5|1026|1061
121	/home/reyerchu/_c_rt_u_hawaii_adc_scratch/wt_fix	OK	c5b4371a7ce5d223b6168c0180f0d9b1efee7653	fix/pdk-gate-must-not-claim-misuse-with-no-library-load	a00f53f2094812041c8aa6094f27058bc1b14ddd	2	2	2	0	80	742	80	0	pdk gate: "no library was loaded" is not evidence that the wrong PDK was used 	vibe-ic-marketplace/plugins/vibe-ic/programs/declared_pdk_is_the_pdk_used_check.py|da359c7dd6ed468a|33ca4985cd06397b|302|848
121	/home/reyerchu/_d7wt/fix	OK	df8517ad9fa772bf3286b3d83bbe2dc8d47c6472	fix/d7-record-producer-rung	a00f53f2094812041c8aa6094f27058bc1b14ddd	7	7	7	0	619	3073	619	0	d7: a write record that named no producer was read as one, so the flow's own "I could not tell" became "the flow produces this" 	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml|9426a436ed7fab70|5f691984067c906f|4966|6320
121	/home/reyerchu/_d9_p1c	OK	169d55af84081a34c504b62a8fb5a421fe63e16f	d9/phase1-wire-the-content-checkers	a00f53f2094812041c8aa6094f27058bc1b14ddd	5	5	5	0	99	2287	99	0	census: regenerate the 63x8 anchored figures after the gate-declaration change 	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml|ec1478ae34ecac03|5f691984067c906f|4754|6320
121	/home/reyerchu/_fga_scratch/wt	OK	1dccf45b058ee500e72a76a9a9e1ad51476cc35c	fix/macro-obs-gates-declare-enforcement-intent	a00f53f2094812041c8aa6094f27058bc1b14ddd	5	3	1	2	39	1968	39	0	gates: two obstruction gates were silent about where their verdict is enforced 	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_macro_obs_gate_enforcement_declared.py|25ce0f1a8c8e7556|d698f0824bbd5277|181|187
121	/home/reyerchu/_fix904_scratch/wt	OK	76431790a0e11140bcda178848746c2100ec1aaa	fix/904-pdk-capability-claim-disclosure	a00f53f2094812041c8aa6094f27058bc1b14ddd	5	5	5	0	1234	2061	1234	0	analog: a design document denied a PDK capability the install ships (#904) 	vibe-ic-marketplace/plugins/vibe-ic/flow/phase1_phase2_phase3.yaml|f12515fc5ea497b2|5f691984067c906f|4506|6320
121	/home/reyerchu/_j4reds2/base	OK	867de428920c708934f06411fc91225dc4f58fe6	(detached)	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	0	0	0	0	flow(ACTIVATE): retire step 37.5self — the general precheck is 37.5ic's SECOND ARM, not a third route [v1.11.18] 	-|-|-|0|0
